GK,work_rate_att,special,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_reflexes,Attack,Mid,Def,gk,eur_value
0,2,1561,71,71,41,43,50,55,68,71,1,2,43,24,71,62,26,52,33,31,62,63,41,41,51,66,35,76,70,33,86,58,82,62,26,38,52,65,65,72,70,13,16,15,49.25,51,63.4,0,18
0,3,1847,71,71,74,48,62,66,66,74,1,3,76,44,57,64,48,63,67,46,48,66,72,75,83,62,72,47,72,87,71,54,66,66,65,59,51,67,66,69,70,11,13,9,61,62.75,67.6,0,17
0,3,1788,71,71,57,48,63,59,69,77,1,2,58,29,59,72,31,49,42,50,59,74,56,58,58,65,67,69,80,74,78,65,78,75,69,63,53,75,69,73,59,8,15,16,59,63.25,68.8,0,7.25
0,1,1648,71,71,52,45,53,52,72,74,1,2,48,34,68,64,46,50,47,41,54,51,51,53,57,63,48,64,66,67,81,53,69,71,31,44,55,64,72,74,71,9,12,16,49.75,52.125,65.7,0,18
0,3,1803,71,72,79,71,67,70,34,69,1,4,70,73,55,69,65,69,64,66,62,72,80,79,77,62,68,71,60,68,78,70,50,33,67,67,68,61,31,32,25,6,15,6,69.875,67.75,50.8,0,28
0,2,1932,71,71,67,63,75,66,65,73,1,3,71,59,62,80,49,59,70,80,76,76,68,66,75,59,68,72,76,82,70,71,68,60,57,67,49,61,68,66,62,9,8,6,65.875,68.75,68.2,0,18
0,3,1719,71,74,64,73,52,65,31,73,1,2,45,75,75,57,79,64,60,62,43,64,62,66,71,65,60,73,75,74,80,68,54,32,73,53,65,67,24,25,23,8,8,15,66.75,60.25,46.4,0,30
0,2,1650,71,75,90,65,52,69,27,61,1,2,48,75,67,53,39,70,60,30,53,68,91,90,71,70,67,67,78,67,62,42,46,27,78,55,65,77,11,30,23,9,6,12,69.125,62.875,45.7,0,31
0,3,1847,71,79,72,57,68,68,68,75,1,2,75,48,67,71,28,70,32,37,73,69,71,73,64,68,58,77,74,82,73,67,72,66,68,67,45,73,66,70,71,9,6,9,66.5,69.25,70.1,0,35
0,3,1602,71,71,51,46,50,55,68,82,1,2,35,34,75,58,47,60,44,26,58,58,50,52,30,60,34,75,78,71,90,51,75,69,26,54,41,68,62,70,67,9,7,15,52,53.875,64.7,0,18
0,2,1863,71,78,82,61,68,73,54,56,1,3,70,60,50,71,55,73,70,60,62,67,83,81,83,69,88,65,66,70,54,62,42,55,66,68,59,65,53,53,57,12,6,9,67.375,68.125,60.9,0,34
0,3,1780,71,71,74,68,55,67,32,75,1,3,56,64,81,60,68,65,50,60,40,68,75,74,78,65,65,80,87,76,79,62,61,24,72,56,73,72,15,38,34,14,6,14,67.875,61.75,49.2,0,24
0,3,1725,71,71,77,70,58,68,28,68,1,3,59,71,66,69,64,70,59,58,48,65,74,80,64,67,75,73,64,69,76,65,47,31,69,47,70,59,15,28,21,14,15,10,68.5,63,46.8,0,23
0,2,1747,71,85,65,41,63,62,70,77,1,2,52,35,70,72,46,59,32,49,61,67,64,66,56,66,64,52,77,84,76,41,70,68,49,69,45,66,70,72,68,7,14,11,57.625,62.75,69.2,0,47
0,2,1797,71,71,85,70,64,69,34,68,1,3,67,72,53,65,59,70,54,62,65,66,85,85,79,65,63,71,73,82,62,69,64,38,65,59,65,70,22,35,35,12,12,7,68.5,66.25,51.9,0,23
0,2,1834,71,71,68,69,68,75,31,69,1,4,64,67,68,69,66,76,70,72,68,75,67,68,74,70,78,72,67,76,70,68,57,25,73,69,78,77,30,27,19,15,7,9,70.625,69.5,49.5,0,24
0,2,1743,71,72,75,60,67,75,38,57,1,4,63,60,54,69,55,74,72,74,64,75,77,73,81,69,76,56,51,67,57,62,44,31,66,68,58,68,36,42,31,7,8,8,67.75,68.125,51.8,0,28
1,2,1055,71,75,73,72,58,76,32,65,1,1,14,13,11,12,16,13,18,17,13,23,33,32,34,64,32,24,70,27,65,17,30,25,12,35,17,60,12,13,19,73,72,76,0,0,0,71,22
0,1,1660,71,71,59,52,53,46,68,80,1,2,36,49,74,64,27,33,25,28,58,61,58,60,55,66,49,71,75,78,82,43,78,67,53,60,59,62,70,67,62,9,10,7,55.375,56.625,65.9,0,16
0,2,1814,71,71,62,53,63,63,69,76,1,2,55,46,61,69,49,61,59,45,71,67,60,63,62,71,55,68,69,74,77,58,76,74,43,61,54,69,66,72,65,15,15,7,59.625,63.5,68.8,0,21
0,2,1721,71,78,76,36,59,73,68,65,1,2,68,33,44,64,37,75,71,41,44,71,75,76,71,66,68,44,70,82,52,34,75,66,41,55,38,61,71,72,73,12,5,14,56.75,61.375,67.8,0,28
0,2,1927,71,71,67,60,68,69,66,74,1,2,66,49,58,72,60,65,66,64,71,75,69,65,72,73,72,74,57,82,71,69,77,71,64,64,62,69,60,70,70,10,5,9,66.25,68.75,69.7,0,22
0,2,1727,71,72,65,46,53,57,69,79,1,2,58,41,66,63,37,53,58,41,55,59,63,66,63,64,61,60,75,77,80,46,82,65,34,31,53,65,71,70,68,14,16,13,53,53.5,66.7,0,22
0,2,1769,71,74,79,68,69,73,20,57,1,3,71,66,51,70,66,73,72,72,67,73,79,79,79,64,79,74,71,62,51,72,60,21,64,65,61,64,13,14,23,12,9,8,69.125,67.375,44.6,0,30
1,2,1008,71,71,71,68,66,73,39,68,1,1,8,15,9,24,7,14,9,4,25,15,36,42,32,70,35,23,72,31,59,6,11,15,10,37,22,36,11,10,10,71,68,73,0,0,0,71,16
0,3,1955,71,74,64,70,67,70,65,78,1,3,65,69,70,71,66,70,47,56,66,73,60,67,62,75,55,76,79,84,78,73,72,64,63,70,63,75,64,67,62,16,15,14,69.75,70.125,69.1,0,30
0,2,1598,71,71,59,38,57,55,68,81,1,2,42,40,73,72,14,51,28,35,61,65,56,62,47,57,54,65,70,87,80,12,80,65,40,56,38,62,67,70,65,14,6,9,53.5,57.375,67.2,0,18
0,2,1951,71,72,77,63,64,72,65,80,1,2,50,60,69,73,41,70,60,59,68,73,82,73,75,69,75,69,84,81,83,65,70,69,70,62,65,75,62,65,62,7,10,11,68.75,69.375,68.6,0,27
0,3,1842,71,72,73,45,61,68,72,70,1,2,68,38,65,64,34,63,61,59,62,70,72,73,75,68,82,59,78,76,67,50,70,63,47,47,49,68,77,73,74,11,13,13,58.75,61.125,69.4,0,23
0,2,1846,71,71,79,44,66,69,69,73,2,2,68,30,52,66,48,70,63,58,65,69,74,83,62,76,72,66,60,66,78,46,72,70,51,65,55,77,69,73,71,9,10,7,61,64.5,70.2,0,13
0,3,1729,71,71,81,59,70,73,30,61,1,3,74,61,44,72,62,75,63,64,66,71,82,81,71,66,72,61,66,61,73,55,31,45,66,71,45,72,21,26,27,12,12,10,68,68.375,50.1,0,14
0,1,1498,71,71,54,33,47,50,73,70,1,2,37,26,69,58,35,44,34,30,56,58,53,54,51,67,39,50,63,59,77,31,70,71,24,38,37,69,74,73,73,9,13,10,46.125,49.5,65.3,0,14
0,2,1842,71,73,73,64,68,75,52,56,1,4,65,63,58,69,53,74,73,68,64,76,75,72,76,74,78,70,66,53,61,61,45,49,63,69,65,61,43,59,56,10,9,9,68.875,68.625,59.7,0,29
0,2,1891,71,72,78,55,65,67,69,71,1,2,68,48,70,67,47,67,76,75,63,64,74,81,79,70,60,77,69,71,78,57,54,72,63,55,30,61,65,69,71,13,7,6,64.625,64.5,68.8,0,23
0,2,1772,71,71,60,71,65,67,27,66,1,3,68,72,72,76,59,65,62,66,66,68,69,53,71,69,74,76,89,32,75,65,80,45,69,41,79,66,15,17,16,15,13,7,67.5,62.875,47.4,0,11
0,2,1896,71,71,66,56,62,64,69,78,1,2,60,51,45,65,59,60,61,56,65,66,65,66,72,69,71,63,82,78,73,55,90,77,61,57,64,75,69,69,73,8,10,16,60.875,63.375,69.6,0,5.5
0,2,1865,71,77,69,62,70,73,65,58,1,2,59,55,58,78,59,73,49,48,73,76,67,70,69,71,66,80,64,45,63,59,59,69,54,74,80,70,65,65,62,12,9,13,66.875,69.5,66.1,0,32
1,2,1115,71,80,74,73,61,75,49,60,1,1,11,17,13,31,14,16,16,17,30,22,48,49,54,66,32,21,64,30,64,19,27,10,11,50,11,36,12,9,8,74,73,75,0,0,0,71,28
0,3,1921,71,71,78,68,66,71,52,70,1,3,71,65,60,69,67,72,63,64,61,68,79,77,75,67,70,76,75,86,65,71,62,56,68,62,59,66,47,53,51,9,16,8,69.25,67.75,61.6,0,22
0,2,1633,71,72,70,73,58,60,32,69,1,3,57,75,73,58,69,64,56,47,60,63,69,70,37,66,38,77,53,70,78,69,47,30,70,62,55,55,22,32,23,11,7,9,67.375,62.5,47.5,0,28
1,2,1110,71,71,73,67,67,75,39,67,1,1,15,14,12,22,13,13,14,10,18,14,36,41,31,63,41,26,72,35,65,14,29,22,13,60,23,48,16,14,15,73,67,75,0,0,0,71,1.6
0,2,1777,71,71,49,53,58,58,69,80,2,2,53,45,72,67,46,56,52,61,63,59,46,51,68,66,53,63,75,77,82,60,79,68,37,42,72,63,69,70,68,6,9,14,54.75,56.875,66.9,0,14
0,1,1933,71,71,75,65,66,62,69,67,1,3,43,57,71,77,63,58,63,54,75,60,76,74,81,64,80,80,58,75,59,73,79,77,54,65,62,61,63,71,63,11,13,10,64.125,66,68,0,18
0,3,2031,71,71,77,62,69,66,69,76,2,2,70,42,73,71,67,62,74,72,69,72,72,81,63,71,67,89,77,68,84,73,67,64,70,60,76,71,68,73,68,14,13,10,67.125,67.25,70,0,13
0,3,1834,71,71,73,69,68,71,37,69,1,3,73,69,63,70,67,71,57,62,67,71,71,74,72,70,72,73,78,68,69,70,68,49,67,66,54,76,25,38,24,12,16,8,69.625,68.125,54,0,25
0,2,1755,71,71,73,72,58,70,30,66,2,4,60,73,62,62,77,69,49,43,51,70,74,72,82,65,66,80,85,58,74,63,51,34,71,61,67,71,26,20,31,12,16,8,69.125,63.75,47.7,0,15
0,2,1785,71,78,79,58,68,76,46,60,1,3,56,52,31,73,47,77,55,66,74,75,81,77,75,67,82,70,63,71,57,61,51,65,60,72,60,75,39,49,34,10,12,9,66,70.375,57.9,0,33
0,2,1808,71,71,66,55,59,65,70,70,1,2,53,49,53,67,50,63,45,48,75,68,68,64,67,68,65,60,78,74,68,68,69,76,40,43,60,70,68,72,75,14,16,7,58.875,61.75,69.1,0,18
0,2,1950,71,71,68,65,67,70,70,74,2,3,66,55,67,69,69,70,66,64,66,70,71,66,71,68,68,73,67,79,68,78,82,74,68,67,56,70,60,76,76,4,4,4,67.625,68.75,71,0,22
0,2,1821,71,71,75,45,64,64,66,78,1,2,70,34,57,65,31,62,60,58,66,65,76,75,72,66,65,59,73,92,72,56,77,68,60,55,38,65,68,67,66,10,13,7,59.75,63.125,68.5,0,19
0,2,1849,71,71,77,52,61,69,69,66,1,2,73,51,52,63,33,66,63,40,55,69,78,76,73,69,81,61,82,75,59,51,69,68,67,57,41,61,70,73,71,14,14,13,63.375,64.75,68.4,0,18
0,2,1562,71,71,58,34,44,46,72,74,1,2,40,28,62,50,34,37,40,37,53,53,54,61,56,68,56,47,82,62,77,34,78,72,33,31,34,71,76,72,70,10,16,9,45.125,46.75,64.5,0,16
0,2,1931,71,71,60,68,72,69,56,74,1,2,69,63,52,73,63,65,70,73,72,73,56,64,73,67,71,73,70,75,74,72,73,64,66,74,82,74,49,61,48,14,8,6,67.25,69.125,63.6,0,14
0,2,1783,71,71,68,45,62,67,71,78,1,2,76,30,60,68,39,67,32,31,62,70,67,68,60,70,62,74,85,78,78,48,78,68,58,54,40,64,71,77,70,7,13,8,60.5,63.5,71,0,21
0,2,1865,71,71,67,63,73,73,63,61,1,3,69,62,34,78,47,72,73,47,76,75,72,63,74,71,70,68,46,63,59,70,67,73,66,72,43,70,63,65,68,10,16,7,68,71.75,67.1,0,16
0,3,1773,71,71,78,64,70,73,35,42,1,4,73,63,50,70,70,72,72,69,69,70,79,78,82,64,82,65,72,65,34,60,26,42,66,67,71,63,30,31,29,14,7,11,67,67.75,49.6,0,25
0,2,1896,71,78,72,53,72,77,59,52,1,2,66,40,41,76,64,75,72,55,74,76,77,68,89,66,93,64,75,73,33,68,69,68,50,72,62,68,54,62,66,12,8,6,63.125,69.375,65.1,0,33
0,2,1813,71,72,87,63,67,76,28,64,1,4,71,58,32,68,56,76,70,69,65,73,90,84,86,63,87,79,77,65,59,64,73,25,54,60,62,69,23,28,41,8,8,15,66.25,66.25,49.8,0,28
0,3,1883,71,72,82,47,69,75,66,74,1,2,76,42,63,68,48,77,63,45,64,74,80,84,76,58,69,60,68,81,72,42,73,64,59,73,56,64,65,68,68,14,12,8,64.625,68,68.7,0,22
0,2,1903,71,82,71,63,74,72,57,46,1,3,69,63,41,76,51,66,71,73,77,73,75,68,91,69,93,66,67,69,33,64,45,53,66,72,64,65,57,63,58,14,15,16,66.625,70.375,61.7,0,40
1,2,1091,71,71,75,71,79,71,29,65,1,1,12,19,10,23,9,14,12,21,24,20,24,33,38,64,40,25,59,19,60,10,33,11,7,39,72,34,8,13,11,75,71,71,0,0,0,71,1.6
0,3,1859,71,71,75,53,67,66,67,72,1,2,70,48,61,70,41,64,70,51,67,70,74,76,68,67,62,64,64,80,71,55,68,68,69,62,51,67,68,68,67,7,7,11,64.5,66.875,69.1,0,18
0,3,1721,71,77,47,52,66,63,65,74,1,2,53,46,52,74,49,60,60,49,70,72,43,51,54,67,49,66,56,74,82,54,57,74,58,67,41,64,60,69,64,8,12,12,59.75,64.625,66.6,0,28
0,2,1894,71,71,73,56,69,72,66,64,1,3,67,53,64,73,42,72,65,55,64,69,72,74,73,73,81,45,54,71,59,71,69,64,70,71,58,70,65,67,69,8,15,14,66.375,69.625,67.8,0,24
0,2,1826,71,74,72,69,59,73,36,72,2,2,54,69,78,55,60,74,67,62,54,71,68,75,74,71,66,72,78,73,73,68,69,49,69,72,66,72,15,40,20,10,11,16,69.5,66.25,51.7,0,30
0,2,1768,71,79,70,67,66,75,34,55,1,4,67,68,73,68,63,77,71,60,62,73,66,73,70,75,69,70,80,58,59,67,35,30,70,67,56,65,31,29,27,13,8,9,70.625,68.125,49.5,0,35
0,2,1589,71,75,51,38,57,56,71,68,1,2,49,29,72,71,23,51,27,31,64,62,52,51,58,69,57,61,59,49,77,34,71,70,52,49,42,59,71,72,70,6,14,9,53.75,56.875,66.3,0,26
0,2,1556,71,78,54,47,45,39,72,83,1,2,47,38,68,44,18,35,27,61,50,44,52,55,33,66,33,69,52,76,91,59,77,72,44,43,33,55,70,75,68,15,12,10,48.375,47.75,64.5,0,28
0,1,1756,71,71,70,42,64,65,70,72,1,2,72,45,70,70,22,63,62,32,65,68,69,70,67,68,67,56,73,70,72,26,73,72,49,54,31,68,68,70,73,16,9,8,59.125,62.125,70,0,19
0,2,1769,71,71,71,46,57,59,72,77,1,2,40,37,69,71,36,53,35,37,66,65,69,73,67,65,63,68,81,75,76,48,82,74,39,53,46,65,72,71,74,14,9,12,56.75,59.5,69.9,0,16
0,3,1794,71,77,89,38,63,62,64,77,1,2,68,27,59,65,63,63,34,34,67,57,88,90,68,71,68,65,52,91,71,25,83,59,53,65,39,62,63,68,72,14,15,6,58.75,62.625,68.2,0,27
0,2,1777,71,79,76,36,65,72,68,68,1,2,73,32,48,71,28,71,62,60,64,70,78,75,78,69,80,42,61,72,66,31,68,72,70,50,42,63,68,74,63,7,10,7,60.875,64.75,69,0,30
1,2,1222,71,72,73,66,73,68,44,75,1,1,23,14,15,35,25,20,24,15,33,20,45,43,48,67,40,20,61,43,66,30,28,30,13,33,25,52,17,18,16,73,66,68,0,0,0,71,18
1,2,1148,71,71,68,69,63,74,35,68,1,1,20,14,21,23,24,14,16,15,24,12,32,37,50,75,56,17,63,19,66,20,42,25,11,42,18,36,16,21,13,68,69,74,0,0,0,71,16
1,2,1107,71,73,68,65,70,77,38,74,1,1,15,12,12,26,14,11,12,16,18,13,32,42,47,61,48,23,70,31,71,11,25,10,12,56,24,29,15,12,14,68,65,77,0,0,0,71,19
0,3,1810,71,79,78,41,66,66,68,74,1,2,69,29,69,70,35,64,46,39,71,70,77,78,63,65,70,65,84,75,70,41,81,65,52,64,42,66,69,70,66,8,11,16,60.125,64.5,69.5,0,30
1,2,1128,71,72,78,63,69,80,46,64,1,1,12,18,16,30,15,13,12,14,24,16,44,47,48,61,42,18,72,28,69,12,35,19,12,44,12,32,12,14,15,78,63,80,0,0,0,71,18
0,3,1908,71,71,72,62,68,70,62,70,1,3,67,61,50,71,53,69,69,49,65,71,73,72,73,69,74,66,72,81,67,65,63,66,70,72,53,60,62,63,65,11,6,10,67.875,70,67,0,25
0,2,1885,71,82,87,54,68,70,65,69,1,2,70,41,55,72,42,68,45,41,70,70,88,87,78,66,81,72,68,79,64,67,67,67,60,68,55,64,67,67,60,8,11,15,65,68.875,68.7,0,36
0,3,1772,71,71,73,44,50,70,70,68,1,2,63,34,64,57,33,68,64,38,30,71,70,75,72,75,75,71,72,80,62,36,69,69,58,37,45,61,69,71,75,15,14,13,59.875,58,67.9,0,20
0,3,1780,71,78,79,65,63,74,44,63,1,3,74,60,48,61,69,77,74,49,50,72,80,79,68,59,73,75,57,78,59,66,57,48,69,67,49,62,50,39,32,7,12,5,68.125,66.25,54.9,0,33
1,2,1030,71,71,70,72,59,73,43,69,1,1,13,12,13,13,14,13,14,14,14,14,41,44,38,70,26,15,66,37,64,15,23,22,12,22,18,53,12,15,13,70,72,73,0,0,0,71,15
0,2,1549,71,75,55,33,46,51,69,80,1,2,17,25,71,66,23,44,26,32,61,59,59,51,57,62,55,60,75,73,83,30,80,67,32,38,21,68,69,70,67,16,16,16,47.625,51,64.8,0,26
0,2,1802,71,72,46,54,65,61,71,70,1,2,59,46,59,72,47,60,61,57,67,67,49,44,45,70,64,66,82,58,71,60,80,74,53,61,55,70,71,74,70,15,10,14,59,62.25,68.7,0,22
0,2,1547,71,71,44,35,51,51,71,75,1,2,37,28,74,61,28,48,43,36,66,58,50,39,44,64,46,53,65,64,82,32,76,72,33,42,42,63,71,72,65,8,13,9,47.5,51.625,64.8,0,18
0,2,1839,71,74,73,58,62,68,69,74,1,2,62,55,67,68,30,68,33,42,65,69,71,75,67,69,65,72,76,82,67,63,82,68,63,60,41,65,68,71,72,8,11,8,65.625,66.625,70,0,24
0,3,1969,71,71,70,67,66,70,64,69,1,3,55,65,56,71,60,66,67,63,68,70,71,69,83,70,90,72,74,89,59,68,67,70,70,67,61,74,67,61,60,14,13,10,67.625,69.125,66.9,0,22
0,2,1742,71,71,78,64,68,74,32,50,1,3,62,61,39,70,60,74,73,71,63,70,80,76,82,69,84,68,49,60,50,66,37,36,66,71,69,63,28,33,29,11,9,10,67.375,67.875,48.6,0,23
0,3,1756,71,71,66,72,69,66,24,59,3,3,69,70,72,67,81,67,83,70,67,67,67,66,65,54,63,75,74,46,70,70,44,33,71,68,86,72,12,15,16,11,6,9,67.75,64.5,43.3,0,8.5
0,3,1943,71,71,55,68,66,66,70,81,1,2,51,65,68,71,67,65,71,67,68,69,53,56,60,68,59,73,76,80,81,73,81,75,67,68,65,73,70,67,69,10,10,7,66.25,67.625,70,0,10
0,3,1850,71,71,81,49,63,70,67,69,1,2,71,41,55,67,55,69,56,63,58,67,81,81,83,61,74,56,71,87,62,56,63,65,47,53,51,62,69,71,68,9,16,6,60.25,63.375,67.8,0,18
0,3,1707,71,75,75,60,70,71,32,59,1,4,70,60,37,70,53,69,59,69,65,70,77,74,81,68,75,64,53,67,59,57,50,32,65,78,53,69,38,27,25,7,8,12,66.375,68.125,49.4,0,31
0,2,1742,71,80,83,70,65,74,31,53,1,3,65,71,68,71,62,74,58,47,62,73,84,83,80,64,79,72,41,55,58,68,40,29,65,61,68,59,25,27,28,13,15,13,70.625,67.375,48.4,0,36
0,2,1752,71,71,43,71,62,64,41,68,2,2,61,74,81,64,66,62,65,62,56,65,39,46,63,75,61,71,78,45,80,62,66,45,78,63,68,78,36,30,37,13,7,6,67,62.375,51.8,0,11
0,2,1725,71,72,85,55,64,78,26,50,1,4,71,52,38,65,64,78,68,57,54,73,88,83,90,68,89,60,88,70,41,54,39,28,63,64,54,69,18,29,24,11,10,15,65.5,66.25,46.5,0,28
0,3,1674,71,75,76,62,66,76,31,52,1,4,66,63,39,67,49,77,64,64,64,76,80,73,74,70,70,65,51,60,54,62,37,22,68,67,47,69,33,29,36,11,7,11,68.375,67.75,48.3,0,31
0,2,1709,71,79,78,68,66,80,23,54,1,4,56,67,33,71,64,84,71,66,69,78,81,76,79,62,78,70,61,55,62,73,32,18,57,64,58,71,24,21,23,10,12,15,68.75,68.125,43.9,0,35
0,3,1883,71,72,61,61,69,69,57,66,1,3,67,57,59,72,67,67,62,61,72,72,59,63,72,70,72,66,68,80,56,64,74,65,67,69,55,68,47,62,57,16,8,11,65.875,68.75,64.4,0,27
0,3,1838,71,71,66,49,65,68,70,70,1,4,73,39,59,71,48,69,57,44,67,70,67,65,67,60,65,55,63,77,65,62,77,68,68,52,52,64,70,73,78,11,10,14,61.375,65.25,69.6,0,16
0,2,1875,71,71,49,63,62,63,70,80,1,2,51,59,69,67,64,62,65,46,69,64,47,51,55,66,70,68,65,71,80,66,93,73,64,63,67,73,66,71,72,6,12,14,62.25,63.625,68.6,0,16
0,2,1730,71,76,77,68,50,64,36,74,1,2,30,73,74,63,72,61,51,66,38,66,76,77,69,62,64,68,81,67,79,52,66,24,72,50,70,64,35,36,28,7,14,13,66.75,59.5,48.6,0,32
0,3,1803,71,74,75,68,62,69,37,70,1,2,58,71,80,65,65,68,66,54,55,70,76,75,76,62,67,70,86,69,71,62,65,31,69,66,67,53,31,36,31,6,11,11,69.125,65.125,51.6,0,30
0,3,1763,71,77,90,65,61,74,33,62,1,3,67,70,72,65,45,73,63,52,60,72,88,91,89,64,72,67,79,78,63,55,35,35,67,50,64,66,28,27,24,9,9,10,69.875,65.5,50.3,0,32
1,2,1065,71,74,73,67,68,73,34,70,1,1,9,13,10,29,14,19,18,12,25,20,37,32,32,62,35,17,54,39,75,19,31,22,12,32,14,31,13,10,9,73,67,73,0,0,0,71,21
0,2,1700,71,71,71,72,49,70,27,73,1,3,40,74,74,48,68,71,68,64,40,70,69,72,72,68,49,77,72,69,77,67,66,20,66,58,66,64,26,21,14,11,15,9,67.625,59.75,43.7,0,24
0,2,1845,71,72,64,61,67,67,67,70,1,2,62,62,59,71,63,65,53,45,70,72,66,63,64,70,58,56,66,80,71,66,56,71,64,71,50,70,67,67,65,13,13,7,65.5,68.75,68.5,0,22
0,3,1925,71,71,74,63,63,67,69,75,1,3,64,63,59,66,59,65,69,54,57,68,72,76,65,70,72,72,73,83,71,57,73,69,70,60,52,70,68,71,71,15,6,12,67,65.875,69.1,0,18
0,3,1887,71,77,77,60,67,74,57,68,1,3,62,53,50,71,49,74,72,52,67,73,77,77,74,71,78,66,62,77,65,68,68,60,65,69,66,74,54,61,56,15,11,7,67.5,69.625,64.3,0,32
0,3,1756,71,71,31,72,77,73,30,51,3,3,78,65,28,78,78,70,87,88,77,76,33,29,76,76,69,79,68,43,62,77,30,33,68,71,83,77,20,38,34,8,6,6,65.5,68.625,48.3,0,6.5
0,2,1773,71,71,73,34,64,62,67,76,1,2,70,33,64,70,30,57,51,50,62,64,73,73,74,71,71,30,93,88,71,30,71,63,49,54,56,69,65,74,67,9,7,7,55.875,61.5,69.1,0,18
0,2,1818,71,76,72,75,67,76,32,61,1,4,67,74,45,67,70,77,79,63,64,76,74,70,72,72,76,79,74,45,70,75,54,26,69,67,74,64,30,37,24,11,6,8,71.25,68.5,49,0,32
0,3,1936,71,71,60,73,72,74,55,68,2,3,75,71,62,72,65,75,71,73,68,75,61,60,72,66,75,78,61,65,67,77,77,60,68,73,60,73,50,55,49,15,10,8,70.625,70.375,62.2,0,8
0,3,1901,71,71,69,59,59,65,70,79,1,2,52,53,38,65,47,60,51,45,59,63,73,65,82,68,87,74,74,91,70,61,89,73,56,60,54,58,70,75,76,16,16,12,61.25,63.375,69.5,0,20
0,3,1836,71,77,86,65,64,74,43,56,1,2,65,63,46,67,57,74,70,47,60,70,87,86,83,63,87,68,67,79,43,65,59,39,70,63,66,64,45,44,41,16,10,14,68,67.375,55.3,0,32
0,3,1778,71,71,77,70,57,71,34,67,2,3,64,74,69,62,66,71,43,58,41,69,79,75,76,69,79,70,74,69,63,62,71,22,72,57,68,68,32,35,28,11,15,16,69.375,63.625,49.6,0,24
0,3,1914,71,71,85,61,63,75,52,76,1,3,63,62,50,63,59,74,55,65,50,71,84,85,84,71,86,58,83,75,73,59,81,49,72,72,66,75,49,59,51,6,8,10,69.125,68.125,61.5,0,18
0,2,1803,71,71,76,69,66,74,30,59,1,3,66,66,65,63,65,76,63,59,67,72,76,76,75,66,76,72,73,62,58,73,52,33,69,74,66,58,23,24,29,14,14,14,70.25,68.125,48.5,0,23
0,3,1789,71,72,81,68,63,74,33,73,1,3,60,69,66,67,61,76,61,53,60,74,76,85,69,71,60,70,71,70,80,63,58,47,69,64,67,77,23,25,21,11,8,8,71,68.125,51.7,0,28
0,2,1837,71,74,68,63,70,74,59,68,1,4,60,65,56,77,49,71,61,58,73,75,66,69,80,76,75,63,63,77,67,64,60,66,65,69,53,67,57,59,58,1,1,1,68.875,71.125,65.9,0,30
0,3,1843,71,80,67,56,68,74,55,61,1,3,61,54,41,74,43,72,68,55,70,74,70,65,79,67,82,62,82,86,48,59,57,63,58,67,56,67,44,64,62,10,7,14,64,69,63.6,0,36
0,2,1984,71,78,79,63,70,70,67,66,1,3,74,60,58,70,65,67,76,69,72,71,78,80,78,69,72,68,67,75,61,65,68,65,64,65,62,68,70,69,68,15,10,11,67.5,68.875,69,0,28
0,2,1769,71,71,77,68,65,73,33,70,1,3,68,68,57,64,51,76,65,68,68,74,78,76,65,65,63,73,58,66,73,70,68,29,66,62,55,58,31,33,25,14,6,13,69.625,67.375,51,0,24
0,3,1723,71,83,87,65,59,76,30,58,1,3,64,62,39,61,54,75,59,53,44,72,88,87,90,76,78,74,34,62,55,62,65,25,71,63,65,63,21,36,36,9,8,14,69.375,65.875,48.7,0,41
0,2,1830,71,73,65,51,66,65,73,71,1,2,64,52,63,69,53,64,57,58,68,70,66,65,62,65,56,59,75,75,70,40,68,67,54,63,58,61,77,76,72,8,7,7,61.25,64.625,70.1,0,24
0,2,1981,71,71,85,62,65,73,62,78,1,3,72,59,59,66,57,72,63,57,63,70,83,86,82,73,73,74,86,88,74,57,74,61,69,60,49,63,58,64,71,15,8,16,68.875,68.375,68.4,0,20
0,2,1852,71,71,80,56,64,70,65,77,1,2,71,57,57,68,39,69,57,39,68,73,81,80,70,73,54,62,77,81,78,55,67,68,59,57,35,67,64,68,65,15,10,12,66.125,67.375,69.3,0,24
0,3,1910,71,71,84,50,62,63,68,78,1,2,63,34,65,62,53,62,71,64,60,64,83,85,62,70,64,74,78,77,80,55,74,64,55,58,70,67,68,69,71,16,14,7,61.25,62.125,68.9,0,16
0,3,1653,71,76,77,70,47,69,26,73,1,3,42,73,63,60,60,72,59,39,29,66,75,79,71,65,55,74,79,76,81,63,49,22,73,43,67,61,22,22,20,11,7,6,67.875,59.625,44.1,0,32
0,2,1827,71,71,36,64,75,61,65,67,1,3,75,59,59,77,44,58,81,69,73,73,43,30,45,75,36,79,54,63,72,65,65,66,69,72,69,77,65,68,63,11,14,12,64.375,68,66.8,0,14
